Title,Artist,c_lyrics
Pale Grass Blue,Enya,a silver hue on wings of blue as all around me shadows dance in light sun is high above and winds are still enough and all i want to do is stay and everywhere the blues are moving in the air i see them in their flight sun is high above and winds are still enough and all i want to do is stay  for seven days they make the sky look down upon them as they go their way sun is high above and winds are still enough and all i want to do is stay  for seven nights they wait the moment for the morning light to come again sun is high above and winds are still enough and all i want to do is stay  and one by one they wander one by one meander never go astray sun is high above and winds are still enough and all i want to do is stay  and so i stand and gaze and so i watch the maze of blues depart the day sun is high above and winds are still enough and one by one they fly away sun is high above and winds are still enough and one by one they fly away sun is high above and winds are still enough and one by one they fly away
Remember Your Smile,Enya,lost in the mountains far from the crowds we would wander together walking for miles with night still before us and day passing by i always remember your smile  cool in the evening warm in the sun the clouds moving slowly time was undone yet the days fell before us and nights rolled on by i always remember your smile  every step and each moment were all so worthwhile i always remember your smile  i always remember your smile  and it s strange how for a moment the heavens were mine i always remember your smile  each one has a journey that s how it goes sometimes we re together sometimes alone
If I Could Be Where You Are,Enya,where are you this moment  only in my dreams  you re missing  but you re always a heartbeat from me  i m lost now without you  i don t know where you are  i keep watching  i keep hoping  but time keeps us apart   is there a way i can find you  is there a sign i should know  is there a road i could follow to bring you back home   winter lies before me now you re so far away  in the darkness of my dreaming the light of you will stay   if i could be close beside you if i could be where you are if i could reach out and touch you and bring you back home is there a way i can find you is there a sign i should know is there a road i can follow to bring you back home to me 
Orinoco Flow,Enya,sail away  sail away  sail away sail away  sail away  sail away sail away  sail away  sail away sail away  sail away  sail away  from bissau to palau  in the shade of avalon from fiji to tyree and the isles of ebony from peru to cebu hear the power of babylon from bali to cali  far beneath the coral sea  turn it up  turn it up  turn it up  up  adieu  ooh ooh turn it up  turn it up  turn it up  up  adieu  ooh ooh turn it up  turn it up  turn it up  up  adieu  oh   sail away  sail away  sail away sail away  sail away  sail away sail away  sail away  sail away sail away  sail away  sail away  from the north to the south  ebudæ into khartoum from the deep sea of clouds to the island of the moon carry me on the waves to the lands i ve never been carry me on the waves to the lands i ve never seen we can sail  we can sail with the orinoco flow we can sail  we can sail  sail away  sail away  sail away   we can steer  we can near with rob dickins at the wheel we can sigh  say goodbye ross and his dependencies we can sail  we can sail  sail away  sail away  sail away   we can reach  we can beach on the shores of tripoli we can sail  we can sail  sail away  sail away  sail away  from bali to cali  far beneath the coral sea we can sail  we can sail  sail away  sail away  sail away  from bissau to palau  in the shade of avalon we can sail  we can sail  sail away  sail away  sail away  we can reach  we can beach far beyond the yellow sea we can sail  we can sail  sail away  sail away  sail away  from peru to cebu hear the power of babylon we can sail  we can sail  sail away  sail away  sail away  we can sail  we can sail  sail away  sail away  sail away sail away  sail away  sail away sail away  sail away  sail away sail away  sail away  sail away sail away  sail away  sail away
Trains and Winter Rains,Enya,city streets passing by underneath stormy skies  neon signs in the night red and blue city lights cargo trains rolling by once again someone cries  trains and winter rains no going back no going home trains across the plains and in the sky a star alone  every time it s the same one more night one more train everywhere empty roads where they go no one knows  trains and winter rains no going back no going home trains across the plains and in the sky a star alone trains and winter rains no going back no going home trains across the plains and in the sky a star alone  trains and winter rains no going back no going home trains across the plains and in the sky a star alone trains and winter rains no going back no going home trains across the plains and in the sky a star alone
My! My! Time Flies!,Enya,my  my  time flies  one step and we re on the moon next step into the stars my  my  time flies maybe we could be there soon a one way ticket to mars  my  my  time flies a man underneath a tree an apple falls on his head my my time flies a man wrote a symphony  it s 1812  my  my  time flies four guys across abbey road one forgot to wear shoes my  my  time flies a rap on a rhapsody a king who s still in the news a king to sing you the blues  my  my  time flies a man in a winter sleigh white white white as the snow my  my  time flies a new day is on its way so let s let yesterday go could be we step out again could be tomorrow but then could be 2010
Aniron,Enya,o môr henion i dhû ely siriar  êl síla ai  aníron undómiel  tiro  êl eria e môr i  lîr en êl luitha  uren ai  aníron
Stars and Midnight Blue,Enya,memories we share together moments no one else can know i will keep them close to me never let them go  once you filled my hands with roses then you gave your heart to me when a kiss had followed this love was meant to be  time goes by  and the snow is drifting slowly in the sky  cold  cold night as you lie beside me  i can hear your heartbeat  you have lost yourself in dreaming i have lost myself in you now we lie beneath the sky stars and midnight blue stars and midnight blue
Storms in Africa,Enya,cá fhad é ó  cá fhad é ó  siúl tríd na stoirmeacha   dul tríd na stoirmeacha   cá fhad é ó  an tús don stoirm   cá fhad é ó  an tús go deireadh    tóg do chroí   siúl tríd na stoirmeacha   tóg do chroísa   dul tríd na stoirmeacha    turas mór   tor tríd na stoirmeacha   turas fada   amharc tríd na stoirmeacha 
Caribbean Blue,Enya,eurus afer ventus  so the world goes round and round with all you ever knew they say the sky high above is caribbean blue  if every man says all he can if every man is true do i believe the sky above is caribbean blue   boreas  zephryus   if all you told was turned to gold if all you dreamed was new imagine sky high above in caribbean blue
Amarantine,Enya,you know when you gave your love away it opens your heart  everything is new and you know time will always find a way to let your heart believe it s true you know love is everything you say a whisper  a word  promises you give you feel it in the heartbeat of the day you know this is the way love is  amarantine amarantine amarantine love is always love  you know love may sometimes make you cry so let the tears go  they will flow away for you know love will always let you fly how far a heart can fly away  amarantine amarantine amarantine love is always love  you know when love s shining in your eyes it may be the stars fallen from above and you know love is with you when you rise for night and day belong to love
Book of Days,Enya,one day  one night  one moment  my dreams could be  tomorrow  one step  one fall  one falter  east or west  over earth or by ocean  one way to be my journey  this way could be my book of days    ó lá go lá  mo thuras  an bealach fada romham  ó oíche go hoíche  mo thuras  na scéalta nach mbeidh a choích   no day  no night  no moment  can hold me back from trying  i ll flag  i ll fall  i ll falter  i ll find my day may be  far and away  far and away   one day  one night  one moment  with a dream to believe in  one step  one fall  one falter  and a new earth across a wide ocean  this way became my journey  this day ends together  far and away    this day ends together  far and away  far and away  
Sumiregusa,Enya,mono no aware murasaki iro no hana haru no hana to fuyu mo koyuki harahara  shizen no bi kana ah  midori no ha to aki no iro  kaze no koe tori no saezuri kanashii umi yorokobino umi yama koishi ayameghusa   translation   wild violet  the poignancy of things a purple flower the blossom of springs and the light snow of winter how they fall  the beauty of nature a green leaf and autumn colors  the voice of the wind the song of birds a sad sea a joyful sea mountains pebbles a wild iris
The River Sings,Enya,our words go beyond the moon  our words go into the shadows  the river sings the endlessness  we write of our journey through night  we write in our aloneness  we want to know the shape of eternity   who knows the way it is  who knows what time will not tell us   mountains  solitude and the moon until the journey s end  the river holds the lost road of the sky  the shape of eternity   who knows the way it is  who knows what time will not tell us   where is the beginning  where is the end  why did we fall into days  why are we calling out into the endlessness   who knows the way it is  who knows what time will not tell us 
The Celts,Enya,hi ri  hi ro  hi ri  hoireann is o  ha hi  ra ha  ra ho ra  hoireann is o  ha hi  ra ha  ra ha ra  hi ri  hi ra  hi ri   saol na saol  tús go deireadh  tá muid beo go deo   saol na saol  tús go deireadh  tá muid beo go deo   hi ri  hi ra  hi ri  hoireann is o  ho hi  ra ha  ra ha ra 
Only Time,Enya,who can say where the road goes where the day flows  only time and who can say if your love grows as your heart chose  only time  who can say why your heart sighs as your love flies  only time and who can say why your heart cries when your love lies  only time  who can say when the roads meet that love might be in your heart and who can say when the day sleeps if the night keeps all your heart night keeps all your heart  who can say if your love grows as your heart chose  only time and who can say where the road goes where the day flows  only time  who knows  only time who knows  only time
Wild Child,Enya,ever close your eyes ever stop and listen ever feel alive and you ve nothing missing you don t need a reason let the day go on and on  let the rain fall down everywhere around you give into it now let the day surround you you don t need a reason let the rain go on and on  what a day  what a day to take to what a way  what a way to make it through what a day  what a day to take to a wild child  only take the time from the helter skelter every day you find everything s in kilter you don t need a reason let the day go on and on  every summer sun every winter evening every spring to come every autumn leaving you don t need a reason let it all go on and on  what a day  what a day to take to what a way  what a way to make it through what a day  what a day to take to a wild child  what a day  what a day to take to what a way  what a way to make it through what a day  what a day to take to a wild child  what a day  what a day to take to what a way  what a way to make it through what a day  what a day to take to  what a way  what a way to make it through  what a way  what a way to make it through what a day  what a day to take to a wild child what a day  what a day to take to a wild child
Water Shows the Hidden Heart,Enya,from the city of constellations to the wanderer and a place of rains he journeys on the city of hesitation and doubt the island if the house the color of the sea the plain of mementoes he journeys on to find his love th valley of lost time the city of end and endlessness the isle of revenents he journeys on the city of solitudes the city of distance from you the city of words of blue and yellow and red and green he journeys on to find his love  where the road takes him through the city of sleep the thinking that does not end in within him then he dreams the road takes him this man who is searching it brings him in silence through the night where the cities that do not exist  exist it brings him in silence through the night close to the city of realizations it is here one finds the way mount orison the city of days the tree of the lost he journeys on north of his love a road through a valley of darkness the islands that are not of this world he journeys on to find his love  it is a long way through darkness to the way of the eremite to the eremite sings of the world and of the journey of love  which is not lost in eternity the valley where the moon is caught in trees water shows the hidden heart endlong into midnight he journeys on the parable of day the room of books where the winds come to him and say
Anywhere Is,Enya,i walk the maze of moments but everywhere i turn to begins a new beginning but never finds a finish i walk to the horizon and there i find another it all seems so surprising and then i find that i know  you go there you re gone forever i go there i ll lose my way if we stay here we re not together anywhere is  the moon upon the ocean is swept around in motion but without ever knowing the reason for its flowing in motion on the ocean the moon still keeps on moving the waves still keep on waving and i still keep on going  you go there you re gone forever i go there i ll lose my way if we stay here we re not together anywhere is  i wonder if the stars sign the life that is to be mine and would they let their light shine enough for me to follow i look up to the heavens but night has clouded over no spark of constellation no vela no orion  the shells upon the warm sands have taken from their own lands the echo of their story but all i hear are low sounds as pillow words are weaving and willow waves are leaving but should i be believing that i am only dreaming  you go there you re gone forever i go there i ll lose my way if we stay here we re not together anywhere is  to leave the tread of all time and let it make a dark line in hopes that i can still find the way back to the moment i took the turn and turned to begin a new beginning still looking for the answer i cannot find the finish it s either this or that way it s one way or the other it should be one direction it could be on reflection the turn i have just taken the turn that i was making i might be just beginning i might be near the end 
Flora's Secret,Enya,lovers in the long grass look above them only they can see where the clouds are going only to discover dust and sunlight ever make the sky so blue  afternoon is hazy river flowing all around the sounds moving closer to them telling them the story told by flora dreams they never knew  silver willows tears from persia those who come from a far off island winter chanterelle lies under cover glory of the sun in blue  some they know as passion some as freedom some they know as love and the way it leaves them summer snowflake for a season when the sky above is blue when the sky above is blue  lying in the long grass close beside her giving her the name of the one the moon loves this will be the day she will remember when she knew his heart was loving in the long grass close beside her whispering of love and the way it leaves them lying in the long grass in the sunlight they believe it s true love and from all around them flora s secret telling them of love and the way it breathes and looking up from eyes of amaranthine they can see the sky is blue knowing that their love is true dreams they never knew and the sky above is blue
Cursum Perficio,Enya,cursum perficio  cursum perficio  cursum perficio  cursum perficio  cursum perficio   verbum sapienti  eo plus cupiunt   verbum sapienti  quo plus habent  eo plus cupiunt  verbum sapienti  quo plus habent  eo plus cupiunt   post nubila  phoebus  post nubila  phoebus  post nubila  phoebus   quo plus habent  eo plus cupiunt  quo plus habent  eo plus cupiunt  quo plus habent  eo plus cupiunt   post nubila  phoebus  post nubila  phoebus  post nubila  phoebus  post nubila  phoebus  post nubila  phoebus  post nubila  phoebus   iternum  iternum  iternum
Fallen Embers,Enya,once  as my heart remembers  all the stars were fallen embers  once  when night seemed forever i was with you   once  in the care of morning in the air was all belonging  once  when that day was dawning i was with you   how far we are from morning  how far we are and the stars shining through the darkness  falling in the air   once  as the night was leaving into us our dreams were weaving  once  all dreams were worth keeping  i was with you   once  when our hearts were singing  i was with you 
Aldebaran,Enya,codladh fada  codladh domhain  éirigh  amharc síos aldebaran    siúil liom tríd an réalta dearg  deireadh  deireadh an turas  réaltóg  réaltóg dearg  
One by One,Enya,here am i yet another goodbye  he says adiã³s  says adiã³s  and do you know why she won t break down and cry  she says adiã³s  says adiã³s  goodbye    one by one my leaves fall  one by one my tales are told   it s no lie she is yearning to fly  she says adiã³s  says adiã³s  and now you know why he s a reason to sigh she says adiã³s  says adiã³s  goodbye   one by one my leaves fall  one by one my tales are told    my  oh my  she was aiming too high  he says adiã³s  says adiã³s  and now you know why there s no moon in her sky he says adiã³s  says adiã³s  goodbye   he says adiã³s  says adiã³s  goodbye    no goodbyes for love brightens their eyes  don t say adiã³s  say adiã³s  and do you know why there s a love that won t die  don t say adiã³s  say adiã³s  goodbye  don t say adiã³s  say adiã³s  goodbye  don t say adiã³s  say adiã³s  goodbye 
Pax Deorum,Enya,domineoveniteosacramentum discesm eodeo domineoveniteosacramentum discesm eodeo domineoveniteosacramentum discesm eodeo athairarneamhdialinn  athairarneamhdialiom  omnem crede diem tibi diluxisse supremum  omnem crede diem tibi diluxisse supremum 
Watermark,Enya,cursum perficio    cursum perficio   verbum sapienti   quo plus habent   eo plus cupiunt   post nubila  phoebus  iternum     translation   i am making an end to my course   a word to the wise   the more  people  have  the more they want   after the clouds  phoebus  over and over again
May It Be,Enya,may it be an evening star shines down upon you may it be when darkness falls your heart will be true you walk a lonely road oh  how far you are from home  mornie utulie  believe and you will find your way mornie alantie  a promise lives within you now  may it be the shadow s call will fly away may it be your journey on to light the day when the night is overcome you may rise to find the sun  mornie utulie  darkness has come   believe and you will find your way mornie alantie  darkness has fallen   a promise lives within you now  a promise lives within you now
Watermark [Remastered 2009],Enya,cursum perficio    cursum perficio   verbum sapienti   quo plus habent   eo plus cupiunt   post nubila  phoebus  iternum     translation   i am making an end to my course   a word to the wise   the more  people  have  the more they want   after the clouds  phoebus  over and over again
Oíche Chiúin [Chorale],Enya,oíche chiúin  oíche mhic dé cách  na suan  dís araon dís is dílse  faire le spéis naíon beag  leanbh ceansa  gus caomh críost   na chodhladh go sámh críost   na chodhladh go sámh  oíche chiúin  oíche mhic dé aoirí ar dtús chuala  n scéal allelúia aingeal ag glaoch cantain suairc i ngar is i gcéin críost an slánaitheoir féin críost an slánaitheoir féin  oíche chiúin  oíche mhic dé cách  na suan  dís araon dís is dílse  faire le spéis naíon beag  leanbh ceansa  gus caomh críost   na chodhladh go sámh críost   na chodhladh go sámh
Oíche Chiúin [Silent Night],Enya,oiche chiuin  oiche mhic de  cach  na suan dis araon  dis is dilse  faire le speis naion beag  leanbh ceansa  gus caomh   criost   na chodladh go samh  criost   na chodladh go samh   oiche chiuin  oiche mhic de  aoiri ar dtus chuala  n sceal  alleluia aingeal ag glaoch  cantain suairc i ngar is i gcein   criost an slanaitheoir fein  criost an slanaitheoir fein    translation   silent night  night of god s son  everyone is asleep  the pair together  the most faithful pair  watching with hope a little baby  a mild and gentle child   christ  calmly asleep  christ  calmly asleep   silent night  night of god s son  shepherds were first to hear the tale  the angels crying out alleluia  lovely chanting near and far   christ  the saviour himself  christ  the saviour himself  
Evening Falls,Enya,when the evening falls  and the daylight is fading  from within me calls could it be i am sleeping  for a moment i stray   then it holds me completely close to home   i cannot say close to home feeling so far away  as i walk the room there before me a shadow from another world  where no other can follow carry me to my own  to where i can cross over close to home   i cannot say close to home feeling so far away  forever searching  never right  i am lost in oceans of night   forever hoping i can find memories those memories i left behind  even though i leave will i go on believing that this time is real   am i lost in this feeling  like a child passing through   never knowing the reason i am home   i know the way i am home   feeling oh  so far away 
It's in the Rain,Enya,every time the rain comes down i close my eyes and listen i can hear the lonesome sound of the sky as it cries  listen to the rain here it comes again hear it in the rain  feel the touch of tears that fall they won t fall forever in the way the day will flow all things come  all things go  listen to the rain  the rain here it comes again  again hear it in the rain  the rain  late at night i drift away i can hear you calling and my name is in the rain leaves on trees whispering deep blue seas  mysteries  even when this moment ends can t let go this feeling everything will come again in the sound falling down of the sky as it cries hear my name in the rain
Only If,Enya,when there s a shadow  you follow the sun  when there is love  then you look for the one  and for the promises  there is the sky  and for the heavens are those who can fly   if you really want to  you can hear me say only if you want to will you find a way  if you really want to you can seize the day  only if you want to will you fly away   da da da da  da da da da da  da da da da  da da da da da  da da da da   when there s a journey  you follow a star  when there s an ocean  you sail from afar  and for the broken heart  there is the sky  and for tomorrow are those who can fly   if you really want to  you can hear me say only if you want to will you find a way  if you really want to you can seize the day  only if you want to will you fly away   da da da da  da da da da da  da da da da  da da da da da  da da da da   ooh go doe bay mwa  ooh go doe bay mwa   if you really want to  you can hear me say only if you want to will you find a way  if you really want to you can seize the day  only if you want to will you fly away   ah  je voudrai voler comme un oiseau d aile ah  je voudrai voler comme un oiseau d aile  d aile  ooh go doe bay mwa  ooh go doe bay mwa   if you really want to  you can hear me say only if you want to will you find a way  if you really want to you can seize the day  only if you want to will you fly away   if you really want to you can seize the day  only if you want to will you fly away 
On My Way Home,Enya,i have been given one moment from heaven as i am walking surrounded by night  stars high above me make a wish under moonlight     on my way home i remember only good days  on my way home i remember all the best days  i m on my way home i can remember every new day   i move in silence with each step taken  snow falling round me like angels in flight  far in the distance is my wish under moonlight  on my way home i remember only good days  on my way home i remember all the best days  i m on my way home i can remember every new day 
Journey of the Angels,Enya,somewhere in a winter night the angels begin their flight dark skies with miles to go no footsteps to be lost in snow  they fly to you oh  newborn king they fly to you oh  angels sing  one is sorrow one is peace one will come to give you sleep one is comfort one is grief one will take the tears you weep  new star in a midnight sky in heaven all the angels fly soft wings so true and all things they will give to you  somewhere in a winter night the angels begin their flight  tonight all sing oh  angels a newborn king tonight all sing oh  angels a newborn king
White Is in the Winter Night,Enya,have you seen the mistletoe it fills the night with kisses have you seen the bright blue star it fills your heart with wishes have you seen the candlelight it shines from every window have you seen the moon above it lights the sky in silver  green is in the mistletoe and red is in the holly silver in the stars above that shine on everybody gold is in the candlelight and crimson in the embers white is in the winter night that everyone remembers  have you heard the boys outside when all the girls are skating have you heard their sweet hearts cry for all this time they re waiting  green is in the mistletoe and red is in the holly silver in the stars above that shine on everybody gold is in the candlelight and crimson in the embers white is in the winter night that everyone remembers  have you seen the children playing tiny hands are frozen have you seen them hurry home when suddenly its snowing  green is in the mistletoe and red is in the holly silver in the stars above that shine on everybody gold is in the candlelight and crimson in the embers white is in the winter night that everyone remembers  have you heard that bells are ringing ringing out their story have you heard the choir singing glory  glory glory
"O Come, O Come, Emmanuel",Enya,o come  o come emmanuel to free your captive israel that mourns in lonely exile here until the son of god appear  rejoice  rejoice o israel to you shall come emmanuel  veni  veni  emmanuel captivum solve israel qui gemit in exilio privatus dei filio  gaude  gaude  emmanuel nascetur pro te  israel   gaude  gaude   gaude  gaude   gaude  gaude   gaude  gaude   gaude  gaude  emmanuel nascetur pro te  israel  gaude  gaude  emmanuel nascetur pro te  israel
Dreams Are More Precious,Enya,come see  high above come see  high in the heavens a new star shining bright out of the darkness  comes a light  come here  in a child come here  bells that are ringing and for some distant shore sounds of a journey  echo on  this is the night they say everyone wants a dream  this is the night they say nothing is as it seems  come see  close your eyes come see  give me your sorrow and i keep watch for you until the dawn is breaking through until the morning wakens you  come dream  through the night come dream  and then tomorrow they ll see who  what will know  dreams are more precious than gold dreams are more precious than gold dreams are more precious than gold
Last Time by Moonlight,Enya,the winter sky above us was shining in moonlight and everywhere around us the silence of midnight and we had gathered snowflakes remember the soft light of starlight on snow  oooh  remember this for no one knows the way love goes oooh  remember this for no one knows the way life goes  we walked the road together one last time by moonlight as underneath the heavens the slow chimes at midnight but nothing is forever not even the starlight at midnight not even the moonlight  oooh  remember this for no one knows the way love goes oooh  remember this for no one knows the way life goes  oooh  remember this for no one knows the way love goes oooh  remember this for no one knows the way life goes
One Toy Soldier,Enya,one toy soldier stands alone with his drum down by his side one toy soldier on his own with his drum to keep the time  he keeps the beet of marching feet he keeps the beat so true he s one small toy for one small boy but his heart is oh so blue  who can mend my broken drum will it be as good as new i must play when morning comes if i don t  what shall i do   he keeps the beat of marching feet he keeps the beat inside while children sleep  he dreams so deep there s a secret he must hide  for he keeps the beat of marching feet he keeps the beat so true he wants to sing and hopes to bring happy christmas day to you  he keeps the beat of marching feet he keeps the beat inside someone has come to mend his drum now his heart lights up with pride  so he keeps the beat of marching feet he keeps the beat so true when morning comes  he plays his drum  happy christmas day to you happy christmas day to you happy christmas day to you happy christmas day to you
The Spirit of Christmas Past,Enya,when tears are in your eyes it s time to look inside your heart can find another way  believe in what i say don t throw this time away tomorrow will be christmas day  christmas day  so let the shadows go and drift away like snow tomorrow will be christmas day tomorrow will be christmas day  christmas day  so dream until the night becomes the morning light tomorrow will be christmas day tomorrow will be christmas day
Miraculum,Enya,o semel canebamus fabulam magnae diei lunae lucem in aqua litora  stellam  caelum  vela dare miraculum vela dare  vero semel salum sub hesperus ita vela dedimus  in hodierna die canimus albae nivis lunae lucem in gelu lacrima et pluviae  vela dare miraculum vela dare  vero viatores ecce caelum oceanus et terra  vela dare miraculum vela dare  vero ite  ite mare  mare sub vespertine stella  vela dare miraculum vela dare  vero et iam annus vicesimus tempus est somnium  vela dare miraculum vela dare  vero et fortasse crastinus deis vela dabimus  vela  vela dabimus  vela vela dabimus  vela vela dabimus  vela
Evacuee,Enya,each time on my leaving home i run back to my mother s arms  one last hold and then it s over    watching me  you know i cry  you wave a kiss to say goodbye  feel the sky fall down upon me    all i am  a child with promises all i have  are miles full of promises of home    if only i could stay with you  my train moves on  you re gone from view  now i must wait until it s over    days will pass  your words to me  it seems so long  eternity  but i must wait until it s over  
China Roses,Enya,who can tell me if we have heaven  who can say the way it should be  moonlight holly  the sappho comet  angel s tears below a tree    you talk of the break of morning as you view the new aurora  cloud in crimson  the key of heaven  one love carved in acajou   one told me of china roses  one a thousand nights and one night  earth s last picture  the end of evening hue of indigo and blue   a new moon leads me to woods of dreams and i follow  a new world waits for me  my dream  my way    i know that if i have heaven there is nothing to desire  rain and river  a world of wonder may be paradise to me   i see the sun  i see the stars  
